"user","name","party","blok","variable","value"
"SorenPape","Søren Pape Poulsen","C","blue","activity_t10",10
"metteabildgaard","Mette Abildgaard","C","blue","activity_t10",10
"RasmusJarlov","Rasmus Jarlov","C","blue","activity_t10",10
"JuulMona","Mona Juul","C","blue","activity_t10",10
"PerLarsenC","Per Larsen","C","blue","activity_t10",10
"_MaiMercado","Mai Mercado","C","blue","activity_t10",10
"BirgitteBergman","Birgitte Bergman","C","blue","activity_t10",10
"brittbager","Britt Bager","C","blue","activity_t10",10
"Ammitzboell_K","KatarinaAmmitzboell","C","blue","activity_t10",10
"Kristianthdahl","Kristian Thulesen Dahl","O","blue","activity_t10",10
"MrMesserschmidt","Morten Messerschmidt","O","blue","activity_t10",10
"mfMorten","Morten Bødskov","A","red","activity_t10",10
"espersendf","Søren Espersen","O","blue","activity_t10",10
"skaarup_df","Peter Skaarup","O","blue","activity_t10",10
"Pia_Kjaersgaard","Pia Kjærsgaard","O","blue","activity_t10",10
"AdsbolAdsbl","Karina Adsbøl","O","blue","activity_t10",10
"LiseBech","Lise Bech 🇩🇰","O","blue","activity_t10",10
"BentGsted","Bent Bøgsted","O","blue","activity_t10",9
"ReneChr67108814","Rene’ Christensen","O","blue","activity_t10",6
"JThulesen","J H Thulesen Dahl","O","blue","activity_t10",10
"flydtkjaer","Dennis Flydtkjær","O","blue","activity_t10",10
"MarieKrarup","Marie Krarup","O","blue","activity_t10",10
"Hans_Kr_Skibby","Hans Kristian Skibby","O","blue","activity_t10",10
"MaiVilladsen","Mai Villadsen","EL","red","activity_t10",10
"SorenEggeRasmus","Søren Egge Rasmussen","EL","red","activity_t10",10
"VictoriaV_EL","Victoria Velásquez","EL","red","activity_t10",10
"EvaFlyvholm","Eva Flyvholm","EL","red","activity_t10",10
"pederhvelplund","Peder Hvelplund","EL","red","activity_t10",10
"ChristianJuhl2","Christian Juhl","EL","red","activity_t10",10
"RuneLundEL","Rune Lund","EL","red","activity_t10",10
"PSkipperEL","Pernille Skipper","EL","red","activity_t10",10
"JakobSoelvhoej","Jakob Sølvhøj","EL","red","activity_t10",10
"RosaLundEl","Rosa Lund","EL","red","activity_t10",10
"jonasholmdk","Jonas Holm 🇺🇦","Q","neutral","activity_t10",10
"jonasholmdk","Jonas Holm","Q","neutral","activity_t10",10
"AlexVanopslagh","Alex Vanopslagh","I","blue","activity_t10",10
"SociologenHD","Henrik Dahl","I","blue","activity_t10",10
"olebirkolesen","Ole Birk Olesen","I","blue","activity_t10",10
"LBMathiesen","Lars Boje Mathiesen","D","blue","activity_t10",10
"ThiesenMette","Mette Thiesen","D","blue","activity_t10",10
"PernilleVermund","Pernille Vermund","D","blue","activity_t10",10
"peter_seier","Peter Seier Christensen","D","blue","activity_t10",10
"FrkCallesen","Anne Sophie Callesen","B","red","activity_t10",10
"mariannejelved","Marianne Jelved","B","red","activity_t10",10
"SamiraNawa","Samira Nawa","B","red","activity_t10",10
